Idx,Name,Date of Birth,Year,Month,Day,Quarter,Club,Country,(Millions of Euros)
1,LionelMessi,24/06/1987,1987,6,24,2,FCBarcelona,Argentina,120
2,CristianoRonaldo,05/02/1985,1985,2,5,1,RealMadrid,Portugal,100
3,GarethBale,16/07/1989,1989,7,16,3,RealMadrid,Wales,80
4,Falcao,10/02/1986,1986,2,10,1,ASMonaco,Colombia,60
5,EdinsonCavani,14/02/1987,1987,2,14,1,ParisSaint-Germain,Uruguay,60
6,Neymar,05/02/1992,1992,2,5,1,FCBarcelona,Brazil,60
7,AndrésIniesta,11/05/1984,1984,5,11,2,FCBarcelona,Spain,55
8,MarioGötze,03/06/1992,1992,6,3,2,FCBayernMunich,Germany,55
9,LuisSuárez,24/01/1987,1987,1,24,1,LiverpoolFC,Uruguay,52
10,CescFàbregas,04/05/1987,1987,5,4,2,FCBarcelona,Spain,50
11,MesutÖzil,15/10/1988,1988,10,15,4,ArsenalFC,Germany,50
12,RobertLewandowski,21/08/1988,1988,8,21,3,BorussiaDortmund,Poland,50
13,Hulk,25/07/1986,1986,7,25,3,ZenitSt.Petersburg,Brazil,48
14,WayneRooney,24/10/1985,1985,10,24,4,ManchesterUnited,England,45
15,KunAgüero,02/06/1988,1988,6,2,2,ManchesterCity,Argentina,45
16,EdenHazard,07/01/1991,1991,1,7,1,ChelseaFC,Belgium,45
17,ThomasMüller,13/09/1989,1989,9,13,3,FCBayernMunich,Germany,45
18,SergioBusquets,16/07/1988,1988,7,16,3,FCBarcelona,Spain,45
19,ArturoVidal,22/05/1987,1987,5,22,2,JuventusFC,Chile,44
20,FranckRibéry,07/04/1983,1983,4,7,2,FCBayernMunich,France,42
21,BastianSchweinsteiger,01/08/1984,1984,8,1,3,FCBayernMunich,Germany,40
22,RobinvanPersie,06/08/1983,1983,8,6,3,ManchesterUnited,Netherlands,40
23,SergioRamos,30/03/1986,1986,3,30,1,RealMadrid,Spain,40
24,LukaModric,09/09/1985,1985,9,9,3,RealMadrid,Croatia,40
25,ThiagoSilva,22/09/1984,1984,9,22,3,ParisSaint-Germain,Brazil,40
26,ToniKroos,04/01/1990,1990,1,4,1,FCBayernMunich,Germany,40
27,MarcoReus,31/05/1989,1989,5,31,2,BorussiaDortmund,Germany,40
28,DavidSilva,08/01/1986,1986,1,8,1,ManchesterCity,Spain,40
29,MarekHamsik,27/07/1987,1987,7,27,3,SSCNapoli,Slovakia,40
30,JuanMata,28/04/1988,1988,4,28,2,ManchesterUnited,Spain,40
31,GonzaloHiguaín,10/12/1987,1987,12,10,4,SSCNapoli,Argentina,38
32,JaviMartínez,02/09/1988,1988,9,2,3,FCBayernMunich,Spain,37
33,GerardPiqué,02/02/1987,1987,2,2,1,FCBarcelona,Spain,36
34,VincentKompany,10/04/1986,1986,4,10,2,ManchesterCity,Belgium,35
35,ManuelNeuer,27/03/1986,1986,3,27,1,FCBayernMunich,Germany,35
36,AxelWitsel,12/01/1989,1989,1,12,1,ZenitSt.Petersburg,Belgium,35
37,Isco,21/04/1992,1992,4,21,2,RealMadrid,Spain,35
38,JamesRodríguez,12/07/1991,1991,7,12,3,ASMonaco,Colombia,35
39,KarimBenzema,19/12/1987,1987,12,19,4,RealMadrid,France,34
40,Oscar,09/09/1991,1991,9,9,3,ChelseaFC,Brazil,34
41,PaulPogba,15/03/1993,1993,3,15,1,JuventusFC,France,34
42,JackWilshere,01/01/1992,1992,1,1,1,ArsenalFC,England,33
43,Lucas,13/08/1992,1992,8,13,3,ParisSaint-Germain,Brazil,33
44,Fernandinho,04/05/1985,1985,5,4,2,ManchesterCity,Brazil,32
45,DavidAlaba,24/06/1992,1992,6,24,2,FCBayernMunich,Austria,32
46,PhilippLahm,11/11/1983,1983,11,11,4,FCBayernMunich,Germany,30
47,YayaTouré,13/05/1983,1983,5,13,2,ManchesterCity,Coted'Ivoire,30
48,SantiCazorla,13/12/1984,1984,12,13,4,ArsenalFC,Spain,30
49,JoãoMoutinho,08/09/1986,1986,9,8,3,ASMonaco,Portugal,30
50,AlexisSánchez,19/12/1988,1988,12,19,4,FCBarcelona,Chile,30
51,DiegoCosta,07/10/1988,1988,10,7,4,AtléticodeMadrid,Spain,30
52,MarioBalotelli,12/08/1990,1990,8,12,3,ACMilan,Italy,30
53,ÁngeldiMaría,14/02/1988,1988,2,14,1,RealMadrid,Argentina,30
54,Willian,09/08/1988,1988,8,9,3,ChelseaFC,Brazil,30
55,Ramires,24/03/1987,1987,3,24,1,ChelseaFC,Brazil,30
56,ThiagoAlcántara,11/04/1991,1991,4,11,2,FCBayernMunich,Spain,30
57,JacksonMartínez,03/10/1986,1986,10,3,4,FCPorto,Colombia,30
58,JulianDraxler,20/09/1993,1993,9,20,3,FCSchalke04,Germany,30
59,ZlatanIbrahimovic,03/10/1981,1981,10,3,4,ParisSaint-Germain,Sweden,28
60,JérômeBoateng,03/09/1988,1988,9,3,3,FCBayernMunich,Germany,28
61,TheoWalcott,16/03/1989,1989,3,16,1,ArsenalFC,England,28
62,ClaudioMarchisio,19/01/1986,1986,1,19,1,JuventusFC,Italy,28
63,ÁlvaroNegredo,20/08/1985,1985,8,20,3,ManchesterCity,Spain,27
64,IlkayGündogan,24/10/1990,1990,10,24,4,BorussiaDortmund,Germany,27
65,MatsHummels,16/12/1988,1988,12,16,4,BorussiaDortmund,Germany,26
66,StevanJovetic,02/11/1989,1989,11,2,4,ManchesterCity,Montenegro,26
67,DavidLuiz,22/04/1987,1987,4,22,2,ChelseaFC,Brazil,26
68,HenrikhMkhitaryan,21/01/1989,1989,1,21,1,BorussiaDortmund,Armenia,26
69,ArjenRobben,23/01/1984,1984,1,23,1,FCBayernMunich,Netherlands,25
70,GiuseppeRossi,01/02/1987,1987,2,1,1,ACFiorentina,Italy,25
71,ArdaTuran,30/01/1987,1987,1,30,1,AtléticodeMadrid,Turkey,25
72,RobertoSoldado,27/05/1985,1985,5,27,2,TottenhamHotspur,Spain,25
73,Marcelo,12/05/1988,1988,5,12,2,RealMadrid,Brazil,25
74,Pedro,28/07/1987,1987,7,28,3,FCBarcelona,Spain,25
75,JordiAlba,21/03/1989,1989,3,21,1,FCBarcelona,Spain,25
76,Koke,08/01/1992,1992,1,8,1,AtléticodeMadrid,Spain,25
77,NemanjaMatic,01/08/1988,1988,8,1,3,ChelseaFC,Serbia,25
78,StephanElShaarawy,27/10/1992,1992,10,27,4,ACMilan,Italy,25
79,RomeluLukaku,13/05/1993,1993,5,13,2,EvertonFC,Belgium,25
80,ThibautCourtois,11/05/1992,1992,5,11,2,AtléticodeMadrid,Belgium,25
81,AntoineGriezmann,21/03/1991,1991,3,21,1,RealSociedad,France,25
82,Marquinhos,14/05/1994,1994,5,14,2,ParisSaint-Germain,Brazil,25
83,SamirHandanovic,14/07/1984,1984,7,14,3,InterMilan,Slovenia,24
84,EdinDzeko,17/03/1986,1986,3,17,1,ManchesterCity,Bosnia-Herzegovina,24
85,GiorgioChiellini,14/08/1984,1984,8,14,3,JuventusFC,Italy,24
86,JuanCuadrado,26/05/1988,1988,5,26,2,ACFiorentina,Colombia,24
87,ÉrikLamela,04/03/1992,1992,3,4,1,TottenhamHotspur,Argentina,24
88,RaphaëlVarane,25/04/1993,1993,4,25,2,RealMadrid,France,24
89,LukasPodolski,04/06/1985,1985,6,4,2,ArsenalFC,Germany,23
90,MarioMandzukic,21/05/1986,1986,5,21,2,FCBayernMunich,Croatia,23
91,MarouaneFellaini,22/11/1987,1987,11,22,4,ManchesterUnited,Belgium,23
92,BorjaValero,12/01/1985,1985,1,12,1,ACFiorentina,Spain,23
93,AlanDzagoev,17/06/1990,1990,6,17,2,CSKAMoscow,Russia,23
94,SeydouDoumbia,31/12/1987,1987,12,31,4,CSKAMoscow,Coted'Ivoire,23
95,EliaquimMangala,13/02/1991,1991,2,13,1,FCPorto,France,23
96,CarlosTévez,05/02/1984,1984,2,5,1,JuventusFC,Argentina,22
97,MarioGómez,10/07/1985,1985,7,10,3,ACFiorentina,Germany,22
98,SamirNasri,26/06/1987,1987,6,26,2,ManchesterCity,France,22
99,SamiKhedira,04/04/1987,1987,4,4,2,RealMadrid,Germany,22
100,YohanCabaye,14/01/1986,1986,1,14,1,ParisSaint-Germain,France,22
101,LarsBender,27/04/1989,1989,4,27,2,Bayer04Leverkusen,Germany,22
102,JanVertonghen,24/04/1987,1987,4,24,2,TottenhamHotspur,Belgium,22
103,Hernanes,29/05/1985,1985,5,29,2,InterMilan,Brazil,22
104,LeandroDamião,22/07/1989,1989,7,22,3,SantosFC,Brazil,22
105,EzequielLavezzi,03/05/1985,1985,5,3,2,ParisSaint-Germain,Argentina,21
106,KevinStrootman,13/02/1990,1990,2,13,1,ASRoma,Netherlands,21
107,MatijaNastasic,28/03/1993,1993,3,28,1,ManchesterCity,Serbia,21
108,SalvatoreSirigu,12/01/1987,1987,1,12,1,ParisSaint-Germain,Italy,20.5
109,JavierPastore,20/06/1989,1989,6,20,2,ParisSaint-Germain,Argentina,20.5
110,PetrCech,20/05/1982,1982,5,20,2,ChelseaFC,CzechRepublic,20
111,DanieleDeRossi,24/07/1983,1983,7,24,3,ASRoma,Italy,20
112,LeightonBaines,11/12/1984,1984,12,11,4,EvertonFC,England,20
113,IgorAkinfeev,08/04/1986,1986,4,8,2,CSKAMoscow,Russia,20
114,JesúsNavas,21/11/1985,1985,11,21,4,ManchesterCity,Spain,20
115,MoussaDembélé,16/07/1987,1987,7,16,3,TottenhamHotspur,Belgium,20
116,JohnObiMikel,22/04/1987,1987,4,22,2,ChelseaFC,Nigeria,20
117,IvanRakitic,10/03/1988,1988,3,10,1,SevillaFC,Croatia,20
118,BlaiseMatuidi,09/04/1987,1987,4,9,2,ParisSaint-Germain,France,20
119,FernandoLlorente,26/02/1985,1985,2,26,1,JuventusFC,Spain,20
120,CarlosVela,01/03/1989,1989,3,1,1,RealSociedad,Mexico,20
121,EzequielGaray,10/10/1986,1986,10,10,4,SLBenfica,Argentina,20
122,LeonardoBonucci,01/05/1987,1987,5,1,2,JuventusFC,Italy,20
123,NevenSubotic,10/12/1988,1988,12,10,4,BorussiaDortmund,Serbia,20
124,MiralemPjanic,02/04/1990,1990,4,2,2,ASRoma,Bosnia-Herzegovina,20
125,RuiPatrício,15/02/1988,1988,2,15,1,SportingLisbon,Portugal,20
126,DanielSturridge,01/09/1989,1989,9,1,3,LiverpoolFC,England,20
127,AaronRamsey,26/12/1990,1990,12,26,4,ArsenalFC,Wales,20
128,DiegoGodín,16/02/1986,1986,2,16,1,AtléticodeMadrid,Uruguay,20
129,AndréSchürrle,06/11/1990,1990,11,6,4,ChelseaFC,Germany,20
130,KwadwoAsamoah,09/12/1988,1988,12,9,4,JuventusFC,Ghana,20
131,AndriyYarmolenko,23/10/1989,1989,10,23,4,DynamoKyiv,Ukraine,20
132,Marc-AndréterStegen,30/04/1992,1992,4,30,2,BorussiaMönchengladbach,Germany,20
133,OlivierGiroud,30/09/1986,1986,9,30,3,ArsenalFC,France,20
134,XherdanShaqiri,10/10/1991,1991,10,10,4,FCBayernMunich,Switzerland,20
135,AnderHerrera,14/08/1989,1989,8,14,3,AthleticClub,Spain,20
136,MarcoVerratti,05/11/1992,1992,11,5,4,ParisSaint-Germain,Italy,20
137,Bernard,08/09/1992,1992,9,8,3,ShakhtarDonetsk,Brazil,20
138,FernandoTorres,20/03/1984,1984,3,20,1,ChelseaFC,Spain,19
139,PabloZabaleta,16/01/1985,1985,1,16,1,ManchesterCity,Argentina,19
140,GaryCahill,19/12/1985,1985,12,19,4,ChelseaFC,England,19
141,BranislavIvanovic,22/02/1984,1984,2,22,1,ChelseaFC,Serbia,19
142,MamadouSakho,13/02/1990,1990,2,13,1,LiverpoolFC,France,19
143,KyleWalker,28/05/1990,1990,5,28,2,TottenhamHotspur,England,19
144,PerMertesacker,29/09/1984,1984,9,29,3,ArsenalFC,Germany,18
145,LuizGustavo,23/07/1987,1987,7,23,3,VfLWolfsburg,Brazil,18
146,Pepe,26/02/1983,1983,2,26,1,RealMadrid,Portugal,18
147,DaniAlves,06/05/1983,1983,5,6,2,FCBarcelona,Brazil,18
148,JeffersonFarfán,26/10/1984,1984,10,26,4,FCSchalke04,Peru,18
149,AlessioCerci,23/07/1987,1987,7,23,3,TorinoFC,Italy,18
150,AlexSong,09/09/1987,1987,9,9,3,FCBarcelona,Cameroon,18
151,SvenBender,27/04/1989,1989,4,27,2,BorussiaDortmund,Germany,18
152,FredyGuarín,30/06/1986,1986,6,30,2,InterMilan,Colombia,18
153,MehdiBenatia,17/04/1987,1987,4,17,2,ASRoma,Morocco,18
154,ChristianBenteke,03/12/1990,1990,12,3,4,AstonVilla,Belgium,18
155,IkerMuniain,19/12/1992,1992,12,19,4,AthleticClub,Spain,18
156,CésarAzpilicueta,28/08/1989,1989,8,28,3,ChelseaFC,Spain,18
157,AsierIllarramendi,08/03/1990,1990,3,8,1,RealMadrid,Spain,18
158,ChristianEriksen,14/02/1992,1992,2,14,1,TottenhamHotspur,Denmark,18
159,BerndLeno,04/03/1992,1992,3,4,1,Bayer04Leverkusen,Germany,18
160,NicolásGaitán,23/02/1988,1988,2,23,1,SLBenfica,Argentina,18
161,LaurentKoscielny,10/09/1985,1985,9,10,3,ArsenalFC,France,18
162,KevinVolland,30/07/1992,1992,7,30,3,TSG1899Hoffenheim,Germany,18
163,AleksandrKokorin,19/03/1991,1991,3,19,1,DinamoMoscow,Russia,18
164,PhilJones,21/02/1992,1992,2,21,1,ManchesterUnited,England,18
165,Fernando,25/07/1987,1987,7,25,3,FCPorto,Portugal,17.5
166,StephanLichtsteiner,16/01/1984,1984,1,16,1,JuventusFC,Switzerland,17
167,WesleySneijder,09/06/1984,1984,6,9,2,GalatasaraySK,Netherlands,17
168,Dante,18/10/1983,1983,10,18,4,FCBayernMunich,Brazil,17
169,DanielAgger,12/12/1984,1984,12,12,4,LiverpoolFC,Denmark,17
170,Lucas,09/01/1987,1987,1,9,1,LiverpoolFC,Brazil,17
171,RadjaNainggolan,04/05/1988,1988,5,4,2,ASRoma,Belgium,17
172,Pierre-EmerickAubameyang,18/06/1989,1989,6,18,2,BorussiaDortmund,Gabon,17
173,EvgenKonoplyanka,29/09/1989,1989,9,29,3,DniproDnipropetrovsk,Ukraine,17
174,DaviddeGea,07/11/1990,1990,11,7,4,ManchesterUnited,Spain,17
175,AlexTeixeira,06/01/1990,1990,1,6,1,ShakhtarDonetsk,Brazil,17
176,KeisukeHonda,13/06/1986,1986,6,13,2,ACMilan,Japan,17
177,DannyWelbeck,26/11/1990,1990,11,26,4,ManchesterUnited,England,17
178,ShinjiKagawa,17/03/1989,1989,3,17,1,ManchesterUnited,Japan,17
179,EduardoSalvio,13/07/1990,1990,7,13,3,SLBenfica,Argentina,17
180,KevindeBruyne,28/06/1991,1991,6,28,2,VfLWolfsburg,Belgium,17
181,AlexOxlade-Chamberlain,15/08/1993,1993,8,15,3,ArsenalFC,England,17
182,AntonioCandreva,28/02/1987,1987,2,28,1,SSLazio,Italy,16.5
183,AndreaRanocchia,16/02/1988,1988,2,16,1,InterMilan,Italy,16.5
184,RicardoÁlvarez,12/04/1988,1988,4,12,2,InterMilan,Argentina,16.5
185,HugoLloris,26/12/1986,1986,12,26,4,TottenhamHotspur,France,16
186,RiccardoMontolivo,18/01/1985,1985,1,18,1,ACMilan,Italy,16
187,ValonBehrami,19/04/1985,1985,4,19,2,SSCNapoli,Switzerland,16
188,LassanaDiarra,10/03/1985,1985,3,10,1,LokomotivMoscow,France,16
189,AntonioValencia,04/08/1985,1985,8,4,3,ManchesterUnited,Ecuador,16
190,Nani,17/11/1986,1986,11,17,4,ManchesterUnited,Portugal,16
191,BurakYilmaz,15/07/1985,1985,7,15,3,GalatasaraySK,Turkey,16
192,JaviGarcía,08/02/1987,1987,2,8,1,ManchesterCity,Spain,16
193,BenediktHöwedes,29/02/1988,1988,2,29,1,FCSchalke04,Germany,16
194,JoeHart,19/04/1987,1987,4,19,2,ManchesterCity,England,16
195,AndyCarroll,06/01/1989,1989,1,6,1,WestHamUnited,England,16
196,Chicharito,01/06/1988,1988,6,1,2,ManchesterUnited,Mexico,16
197,Paulinho,25/07/1988,1988,7,25,3,TottenhamHotspur,Brazil,16
198,FernandoMuslera,16/06/1986,1986,6,16,2,GalatasaraySK,Uruguay,16
199,JoséCallejón,11/02/1987,1987,2,11,1,SSCNapoli,Spain,16
200,AlexSandro,26/01/1991,1991,1,26,1,FCPorto,Brazil,16
201,Coutinho,12/06/1992,1992,6,12,2,LiverpoolFC,Brazil,16
202,GeoffreyKondogbia,15/02/1993,1993,2,15,1,ASMonaco,France,16
203,MoussaSow,19/01/1986,1986,1,19,1,FenerbahceSK,Senegal,15.5
204,JamesMilner,04/01/1986,1986,1,4,1,ManchesterCity,England,15
205,StefanKießling,25/01/1984,1984,1,25,1,Bayer04Leverkusen,Germany,15
206,MirkoVucinic,01/10/1983,1983,10,1,4,JuventusFC,Montenegro,15
207,AaronLennon,16/04/1987,1987,4,16,2,TottenhamHotspur,England,15
208,Kevin-PrinceBoateng,06/03/1987,1987,3,6,1,FCSchalke04,Ghana,15
209,JavierMascherano,08/06/1984,1984,6,8,2,FCBarcelona,Argentina,15
210,Filipe,09/08/1985,1985,8,9,3,AtléticodeMadrid,Brazil,15
211,SteveMandanda,28/03/1985,1985,3,28,1,OlympiqueMarseille,France,15
212,LukaszPiszczek,03/06/1985,1985,6,3,2,BorussiaDortmund,Poland,15
213,JakubBlaszczykowski,14/12/1985,1985,12,14,4,BorussiaDortmund,Poland,15
214,Miranda,07/09/1984,1984,9,7,3,AtléticodeMadrid,Brazil,15
215,Sokratis,09/06/1988,1988,6,9,2,BorussiaDortmund,Greece,15
216,Adriano,26/10/1984,1984,10,26,4,FCBarcelona,Brazil,15
217,ÖmerToprak,21/07/1989,1989,7,21,3,Bayer04Leverkusen,Turkey,15
218,WojciechSzczesny,18/04/1990,1990,4,18,2,ArsenalFC,Poland,15
219,MateoKovacic,06/05/1994,1994,5,6,2,InterMilan,Croatia,15
220,YannM'Vila,29/06/1990,1990,6,29,2,RubinKazan,France,15
221,JordanHenderson,17/06/1990,1990,6,17,2,LiverpoolFC,England,15
222,Rafael,09/07/1990,1990,7,9,3,ManchesterUnited,Brazil,15
223,Taison,13/01/1988,1988,1,13,1,ShakhtarDonetsk,Brazil,15
224,JoséSalomónRondón,16/09/1989,1989,9,16,3,ZenitSt.Petersburg,Venezuela,15
225,WilfriedBony,10/12/1988,1988,12,10,4,SwanseaCity,Coted'Ivoire,15
226,RicardoRodríguez,25/08/1992,1992,8,25,3,VfLWolfsburg,Switzerland,15
227,RobertoFirmino,02/10/1991,1991,10,2,4,TSG1899Hoffenheim,Brazil,15
228,LorenzoInsigne,04/06/1991,1991,6,4,2,SSCNapoli,Italy,15
229,Jesé,26/02/1993,1993,2,26,1,RealMadrid,Spain,15
230,AshleyYoung,09/07/1985,1985,7,9,3,ManchesterUnited,England,14
231,Danny,07/08/1983,1983,8,7,3,ZenitSt.Petersburg,Portugal,14
232,IgorDenisov,17/05/1984,1984,5,17,2,DinamoMoscow,Russia,14
233,ThomasVermaelen,14/11/1985,1985,11,14,4,ArsenalFC,Belgium,14
234,Juanfran,09/01/1985,1985,1,9,1,AtléticodeMadrid,Spain,14
235,JérémyMénez,07/05/1987,1987,5,7,2,ParisSaint-Germain,France,14
236,GökhanInler,27/06/1984,1984,6,27,2,SSCNapoli,Switzerland,14
237,GiampaoloPazzini,02/08/1984,1984,8,2,3,ACMilan,Italy,14
238,MbarkBoussoufa,15/08/1984,1984,8,15,3,LokomotivMoscow,Morocco,14
239,MartinSkrtel,15/12/1984,1984,12,15,4,LiverpoolFC,Slovakia,14
240,FábioCoentrão,11/03/1988,1988,3,11,1,RealMadrid,Portugal,14
241,MathieuValbuena,28/09/1984,1984,9,28,3,OlympiqueMarseille,France,14
242,SalvatoreBocchetti,30/11/1986,1986,11,30,4,SpartakMoscow,Italy,14
243,DomenicoCriscito,30/12/1986,1986,12,30,4,ZenitSt.Petersburg,Italy,14
244,RomanEremenko,19/03/1987,1987,3,19,1,RubinKazan,Finland,14
245,ÓscarCardozo,20/05/1983,1983,5,20,2,SLBenfica,Paraguay,14
246,JoeAllen,14/03/1990,1990,3,14,1,LiverpoolFC,Wales,14
247,SebastianGiovinco,26/01/1987,1987,1,26,1,JuventusFC,Italy,14
248,MaximeGonalons,10/03/1989,1989,3,10,1,OlympiqueLyon,France,14
249,TomCleverley,12/08/1989,1989,8,12,3,ManchesterUnited,England,14
250,Sandro,15/03/1989,1989,3,15,1,TottenhamHotspur,Brazil,14
