chlorides,density,pH,sulphates,alcohol,quality
0.075,1.0008,2.86,0.79,8.4,6
0.094,0.9982,3.08,0.59,9.1,5
0.078,0.9983,3.45,0.78,9.5,6
0.067,0.9987,3.26,0.86,10.7,6
0.079,0.9994,3.12,0.75,10.4,6
0.171,0.9975,3.27,0.61,9.4,6
0.074,0.9958,3.33,0.56,9.5,6
0.092,0.998,3.19,0.73,10,6
0.092,0.998,3.12,0.74,10,6
0.05,0.9934,3.74,0.62,11.5,5
0.095,1.00315,2.92,0.74,11.1,5
0.095,1.00315,2.92,0.74,11.1,5
0.118,1.0002,3.07,0.56,11.7,6
0.095,1.00315,2.92,0.74,11.1,5
0.118,1.0002,3.07,0.56,11.7,6
0.085,1.0021,3.3,0.68,12.7,6
0.075,0.9994,3.14,0.57,11.4,5
0.078,0.9978,3.23,0.58,9.2,5
0.094,0.9982,3.08,0.61,9.2,5
0.092,0.9971,3.31,0.61,10.1,6
0.085,1.0021,3.3,0.68,12.7,6
0.075,0.9994,3.14,0.57,11.4,5
0.226,0.9991,3.32,0.6,9,6
0.226,0.9991,3.32,0.6,9,6
0.25,0.999,3.31,0.79,10.7,6
0.095,0.9946,3.57,0.57,11.7,6
0.07,1.0003,3.32,0.91,11,6
0.095,0.9946,3.57,0.57,11.7,6
0.075,0.9978,3.14,0.61,10.4,5
0.07,0.9991,3.3,0.56,9.6,4
0.078,0.9992,3.19,0.7,10,6
0.079,0.9993,3.2,0.8,10.2,6
0.103,0.9978,3.34,0.52,10,4
0.083,0.9982,3.3,0.6,9.5,5
0.085,0.9982,3.29,0.6,9.8,5
0.063,0.9976,3.14,0.51,9.8,6
0.089,1.0002,3.19,0.44,9.6,5
0.089,1.0002,3.19,0.44,9.6,5
0.083,1,3.19,0.43,9.2,5
0.074,0.9976,2.98,0.66,9.9,7
0.093,1.0002,3.3,0.76,10.7,7
0.091,0.998,3.47,0.66,9.6,6
0.094,0.9986,3.12,1.02,10.6,7
0.108,0.9967,3.26,0.59,9.3,5
0.06,0.9917,3.72,0.74,14,8
0.059,0.9976,3.05,0.74,10.5,7
0.084,0.9987,3.35,0.57,9.7,5
0.07,0.9922,3.12,0.5,11.5,6
0.084,0.9987,3.35,0.57,9.7,5
0.094,1.0004,3.29,0.58,9,5
0.096,0.9978,3.4,0.53,9.5,5
0.086,0.9998,3.27,0.57,9.3,5
0.059,0.9994,3.04,0.6,9.3,6
0.071,0.998,3.09,0.63,10,6
0.078,0.9967,3.2,0.48,9.8,6
0.082,1,3,0.7,9.3,6
0.088,0.9962,3.26,0.47,10,4
0.071,1.0006,3.1,0.56,9,6
0.081,0.9975,3.3,0.52,9.3,5
0.071,1.0006,3.1,0.56,9,6
0.096,0.9984,3.17,0.62,9.1,6
0.085,0.9984,3.31,0.59,9.2,6
0.072,0.9973,3.34,0.79,12.2,7
0.092,0.9982,3.31,0.53,10.5,6
0.11,1.0026,3.32,0.64,10.4,6
0.075,0.9956,3.56,0.52,12.7,6
0.083,0.9983,3.39,0.54,9.2,5
0.081,1.0006,2.98,0.54,9.4,5
0.077,0.9965,3.32,0.6,10,6
0.058,0.9962,3.26,0.74,9.8,5
0.148,0.9969,2.87,1.36,10.2,6
0.079,0.9997,3.5,0.57,9.7,5
0.079,0.9997,3.5,0.57,9.7,5
0.079,0.9982,3.03,0.93,9.8,6
0.122,1.0006,3.13,0.7,10.2,5
0.088,0.9988,3.09,0.8,9.3,5
0.076,0.9976,3.27,0.61,9.4,5
0.078,0.9976,3.28,0.62,9.4,5
0.08,0.9974,3.13,0.55,9.5,5
0.077,0.9974,3.49,0.96,12.1,6
0.124,0.9997,3.46,0.72,10.2,5
0.124,0.9997,3.46,0.72,10.2,5
0.098,0.9988,3.36,0.49,9.1,5
0.098,0.9988,3.36,0.49,9.1,5
0.097,0.9976,3.27,0.6,9.3,6
0.111,0.9964,3.21,0.61,9.3,5
0.097,0.9976,3.27,0.6,9.3,6
0.105,0.9988,3.25,0.63,9.5,5
0.087,0.9964,3.32,0.57,10.5,6
0.105,1.001,3.43,0.64,11.3,4
0.073,0.9964,3.27,0.58,9.5,5
0.065,0.9954,3.27,0.55,9.7,5
0.086,0.9979,3.24,0.53,9.4,5
0.084,0.9978,3.24,0.53,9.4,5
0.143,0.9964,3.35,0.65,10.2,7
0.067,0.997,3.18,1.36,10.3,6
0.071,0.9991,3.39,0.62,9.4,5
0.071,0.9992,3.46,0.63,9.5,5
0.071,0.9991,3.39,0.62,9.4,5
0.071,0.9992,3.46,0.63,9.5,5
0.071,0.9991,3.39,0.62,9.4,5
0.115,0.9984,3.37,0.69,10.1,7
0.107,0.9972,3.4,0.63,10.1,5
0.07,0.9967,3.32,0.58,11,4
0.066,0.9964,3.33,0.67,11.2,7
0.068,0.9948,3.16,0.57,11.3,6
0.106,0.9986,2.89,0.5,9.6,5
0.104,1.001,3.41,0.67,11.2,5
0.096,0.9976,2.98,0.84,14.9,5
0.079,0.9976,3.12,0.54,12,6
0.074,0.9979,3.08,0.46,9.5,5
0.087,1.0004,3.14,0.61,9.4,5
0.106,0.9986,2.89,0.5,9.6,5
0.073,0.998,2.92,0.68,10.5,7
0.074,0.9973,3.32,0.81,9.6,6
0.096,0.997,3.41,0.57,11,4
0.074,0.9973,3.32,0.81,9.6,6
0.08,0.9978,3.31,0.64,9,5
0.076,0.9972,3.36,0.7,9.6,6
0.05,0.9974,3.04,0.79,10.2,6
0.092,1,3.03,0.66,10.2,5
0.084,0.9981,3.14,0.56,9.7,5
0.222,0.998,3.18,0.6,9.5,6
0.082,0.9988,2.94,0.66,9.2,6
0.059,0.9966,3.15,0.57,11,5
0.082,0.9988,2.94,0.66,9.2,6
0.083,0.9959,3.26,0.58,10,5
0.074,0.9968,3.2,0.52,9.5,5
0.079,0.998,3.15,0.53,9.5,5
0.074,0.9968,3.2,0.52,9.5,5
0.084,0.9984,3.08,0.67,9.3,6
0.064,0.9984,3.26,0.65,10.2,5
0.084,0.9984,3.08,0.67,9.3,6
0.084,0.9979,3.4,0.48,9.9,5
0.081,0.9983,3.48,0.53,10,5
0.06,0.9972,3.13,0.54,9.6,5
0.07,1.0004,3.06,0.49,9,5
0.094,0.9962,3.21,0.49,10.2,6
0.078,0.998,3.33,0.54,9.8,5
0.059,0.997,3.37,0.56,11.3,5
0.078,0.998,3.25,0.48,9.4,5
0.059,0.997,3.37,0.56,11.3,5
0.07,0.997,3.44,0.6,9.1,5
0.095,0.9998,3.28,0.59,9.7,5
0.039,0.9962,3.4,0.47,9.4,5
0.157,0.9976,3.3,1.05,9.4,5
0.097,0.9966,3.63,0.54,10.7,3
0.087,0.9998,3.48,0.54,9.8,5
0.422,0.9979,3.03,1.17,9,5
0.084,0.9984,3.32,0.62,9.4,5
0.084,0.9984,3.31,0.61,9.4,5
0.034,0.9921,3.9,0.62,12.8,6
0.066,0.9972,3.47,0.67,9.5,6
0.066,0.9972,3.47,0.67,9.5,6
0.087,1.0001,3.31,0.53,9.7,5
0.071,0.9986,3.11,0.62,10.8,6
0.076,0.9984,3.08,0.57,10.1,6
0.066,0.9972,3.47,0.67,9.5,6
0.067,0.997,3.47,0.67,9.4,6
0.073,0.9972,3.32,0.7,9.6,4
0.078,0.998,3.29,0.54,9.7,4
0.073,0.999,3.37,0.49,9.9,5
0.093,0.9956,3.4,0.47,10,5
0.077,0.9966,3.37,0.51,10.5,5
0.068,0.996,3.34,0.61,11.6,6
0.062,0.9983,3.27,0.66,10,6
0.08,0.9985,3.06,0.57,10.1,5
0.093,0.9998,3.38,0.61,9.5,5
0.084,0.9992,3.36,0.45,9.4,5
0.075,0.9976,3.34,0.46,9.4,5
0.078,0.998,3.28,0.51,9.8,5
0.069,0.9967,3.29,0.48,9.2,6
0.075,0.9976,3.34,0.46,9.4,5
0.079,0.9968,3.21,0.57,10,5
0.082,0.9976,3.22,0.44,9.6,5
0.086,0.9976,3.46,0.54,9.5,5
0.082,0.9976,3.22,0.44,9.6,5
0.094,0.9982,3.1,0.53,9.2,5
0.084,0.9968,3.21,0.59,10,5
0.053,0.9965,2.94,1.62,9.5,5
0.086,0.9958,3.54,0.6,11.2,4
0.077,0.9976,3.29,0.55,10.4,5
0.084,0.9994,3.43,0.72,11.1,6
0.067,0.997,3.46,0.68,9.5,5
0.067,0.997,3.46,0.68,9.5,5
0.071,0.995,3.61,0.49,12.7,6
0.387,0.9982,3.17,0.67,9.6,5
0.088,0.9994,3.44,0.52,11.5,5
0.092,0.9966,3.39,0.47,9.6,5
0.082,0.998,3.55,0.6,9.5,5
0.075,0.9987,3.48,0.62,9.3,5
0.112,0.9963,3.26,0.5,9.5,5
0.112,0.9963,3.26,0.5,9.5,5
0.093,1.0002,3.5,0.65,9.3,6
0.092,0.9983,3.1,0.56,9.2,5
0.088,0.999,3.35,0.6,9.3,5
0.075,0.9965,3.45,0.68,11.5,6
0.078,0.99788,3.21,0.57,9.5,5
0.065,0.9972,3.46,0.65,9.2,5
0.096,1.00024,3.13,0.53,10,5
0.095,1.0001,3.13,0.51,9.5,5
0.07,0.99768,3.52,0.73,9.5,6
0.08,0.9978,3.3,0.47,9,6
0.083,0.99782,3.3,0.48,9.4,5
0.071,0.99761,3.52,0.72,9.6,6
0.07,0.99768,3.52,0.73,9.5,6
0.089,0.99803,3.29,0.55,9.5,5
0.089,0.99803,3.29,0.55,9.5,5
0.097,0.99785,3.39,0.61,9.4,5
0.089,0.99803,3.29,0.55,9.5,5
0.415,0.99656,3.09,1.06,9.1,6
0.058,0.99525,3.51,0.43,10.7,6
0.057,0.99488,3.6,0.46,11.2,6
0.084,0.99656,3.25,0.5,9.8,5
0.084,0.99656,3.25,0.5,9.8,5
0.092,0.99823,3.19,0.52,9.2,5
0.075,0.99779,3.23,0.57,9.7,5
0.096,0.99738,3.25,0.42,9.6,5
0.069,0.99701,3.31,0.53,10,6
0.096,0.99738,3.25,0.42,9.6,5
0.093,0.99888,3.31,0.55,9.5,6
0.091,0.99888,3.31,0.54,9.5,6
0.089,0.99738,3.14,0.54,9.4,5
0.103,0.99938,3.45,0.62,9.5,5
0.082,0.99744,3.55,0.53,9.7,6
0.076,0.99668,3.39,0.54,9.6,5
0.082,0.99744,3.55,0.53,9.7,6
0.082,0.9978,3.28,0.55,9.4,5
0.082,0.99782,3.27,0.55,9.4,5
0.157,0.9973,3.3,0.92,9.5,6
0.157,0.99727,3.31,0.91,9.5,6
0.102,0.99586,3.43,0.46,10,5
0.243,0.99612,3.4,0.6,10.3,6
0.241,0.9961,3.4,0.59,10.3,6
0.079,0.99788,3.36,0.61,10.5,5
0.076,0.99745,3.5,0.6,9.8,5
0.19,0.99676,3.31,0.6,9.4,6
0.114,0.99732,3.66,0.65,9.8,5
0.081,0.99814,3.36,0.53,10,5
0.114,0.99732,3.66,0.65,9.8,5
0.077,0.99746,3.55,0.59,9.8,5
0.083,0.9982,3.21,0.5,9.5,5
0.083,0.9982,3.21,0.5,9.5,5
0.079,0.9991,3.18,0.56,10.1,6
0.079,0.9991,3.18,0.56,10.1,6
0.099,0.998,3.09,0.52,9.3,5
0.082,0.99708,3.33,0.68,9.7,6
0.084,0.99818,3.23,0.54,9.6,5
0.081,0.99745,3.48,0.6,9.7,6
0.055,0.99639,3.38,0.56,10.8,5
0.065,0.99531,3.17,0.53,12.5,6
0.132,0.99786,2.99,1.18,10.2,5
0.126,0.99746,3.1,0.74,9.6,5
0.038,0.99526,3.24,0.81,10.8,7
0.082,0.9987,3.29,0.52,10.7,6
0.082,0.9987,3.29,0.52,10.7,6
0.082,0.99641,3.25,0.51,9.4,5
0.068,0.99735,3.23,0.44,10,5
0.044,0.99264,3.56,0.94,12.9,7
0.114,0.9971,3.24,0.66,9.6,6
0.084,0.99682,3.26,0.57,9.9,6
0.052,0.99356,3.33,0.7,12.8,7
0.041,0.99386,3.27,0.71,12.5,7
0.052,0.99356,3.33,0.7,12.8,7
0.165,0.99702,3.26,0.86,9.2,5
0.07,0.99693,3.22,0.55,10.3,6
0.068,0.99562,3.3,0.47,10.5,5
0.072,1.00012,3.09,0.68,10.9,6
0.099,0.99818,3.24,0.71,10.8,5
0.102,0.99462,3.44,0.58,11.4,4
0.103,0.99939,3.21,0.76,11.3,6
0.099,0.99818,3.24,0.71,10.8,5
0.081,0.9984,3.23,0.58,10.5,6
0.084,0.99545,3.28,0.73,11.9,6
0.071,0.99632,3.29,0.45,9.4,5
0.097,0.99976,3.28,0.54,9.6,5
0.099,0.99606,3.34,0.6,9.7,5
0.048,0.99154,3.71,0.74,14,7
0.076,0.9973,3.61,0.64,9.8,5
0.076,0.9973,3.61,0.64,9.8,5
0.068,0.99682,3.24,0.53,10.3,5
0.076,0.99624,3.36,0.49,10.7,5
0.05,0.9951,3.4,0.64,11,7
0.076,0.99624,3.36,0.49,10.7,5
0.065,0.99417,3.46,0.74,12.7,8
0.071,0.99376,3.56,0.77,11.1,6
0.058,0.99632,3.38,0.55,10.9,4
0.071,0.99376,3.56,0.77,11.1,6
0.145,0.99832,3.38,0.86,9.9,3
0.147,0.99836,3.38,0.86,9.9,4
0.088,0.99694,3.32,0.47,9.4,5
0.066,0.99655,3.39,0.51,9.3,5
0.012,0.99064,3.26,0.39,11.7,7
0.012,0.99064,3.26,0.39,11.7,7
0.075,0.99672,3.24,0.83,11.2,7
0.092,0.99647,3.46,0.47,10,5
0.085,0.99736,3.24,0.77,12.1,7
0.115,0.99629,3.45,0.63,10.3,5
0.119,0.99708,3.23,0.72,10.9,6
0.088,0.9963,3.28,0.62,9.4,5
0.062,0.9959,3.18,0.83,10.6,6
0.081,0.99689,3.59,0.66,9.8,5
0.081,0.99689,3.59,0.66,9.8,5
0.078,0.9977,3.5,0.7,9.9,6
0.081,0.99689,3.59,0.66,9.8,5
0.08,0.99689,3.58,0.66,9.8,5
0.085,0.99708,3.28,0.55,9.5,5
0.085,0.99708,3.28,0.55,9.5,5
0.08,0.99801,3.22,1.07,9.7,5
0.08,0.99652,3.47,0.73,10.9,6
0.08,0.99652,3.47,0.73,10.9,6
0.071,0.99538,3.51,0.71,11.7,7
0.08,0.99652,3.47,0.73,10.9,6
0.073,0.99594,3.4,0.78,11.3,7
0.054,0.99686,3.15,0.67,10.6,7
0.074,0.99438,3.4,0.82,11.2,6
0.077,0.99746,3.51,0.54,9.5,5
0.039,0.99357,3.66,0.6,11.5,6
0.067,0.99628,3.24,0.44,10.4,5
0.078,0.99746,3.51,0.53,9.7,5
0.077,0.99746,3.51,0.54,9.5,5
0.077,0.99748,3.51,0.54,9.7,5
0.071,0.99438,3.41,0.83,11.3,6
0.072,0.99438,3.4,0.84,11.2,6
0.074,0.99438,3.4,0.82,11.2,6
0.08,0.99578,3.44,0.64,10.9,6
0.064,0.99371,3.41,0.57,11.8,6
0.086,0.99522,3.53,0.57,10.6,5
0.067,0.99576,3.43,0.54,10,4
0.067,0.99552,3.23,0.58,11.1,7
0.104,0.99664,3.12,0.65,11.8,7
0.109,0.99614,3.31,0.79,11.8,7
0.067,0.99517,3.4,0.58,10.9,4
0.064,0.99371,3.41,0.57,11.8,6
0.094,0.99787,3.22,0.5,10,6
0.076,0.99745,3.53,0.55,9.5,5
0.078,0.99576,3.15,0.49,9.9,5
0.068,0.99533,3.48,0.65,11.4,6
0.194,0.99536,3.22,0.78,12,6
0.076,0.99745,3.53,0.55,9.5,5
0.094,0.99787,3.22,0.5,10,6
0.086,0.99824,3.34,0.64,10.5,5
0.083,0.99836,3.33,0.65,10.4,6
0.066,0.99577,3.15,0.79,12.1,7
0.072,0.99491,3.43,0.56,11.2,6
0.112,1.00289,3.22,0.68,9.3,5
0.071,0.99576,3.44,0.58,10.1,5
0.078,0.99743,3.53,0.57,9.7,5
0.082,0.99774,3.22,0.65,9.3,6
0.078,0.99743,3.53,0.57,9.7,5
0.08,0.99745,3.53,0.58,9.8,6
0.08,0.9955,3.42,0.58,10.7,6
0.078,0.99444,3.31,0.77,12.5,7
0.08,0.9955,3.42,0.58,10.7,6
0.078,0.99444,3.31,0.77,12.5,7
0.084,0.99892,3.48,0.49,11,3
0.056,0.99562,3.4,0.69,11.8,5
0.08,0.99736,3.58,0.69,10.8,7
0.08,0.99736,3.58,0.69,10.8,7
0.06,0.9962,3.41,0.59,10.8,7
0.06,0.9962,3.41,0.59,10.8,7
0.081,0.998,3.23,0.59,9.5,5
0.084,0.9964,3.39,0.71,11,5
0.079,0.9948,3.59,0.54,11.5,6
0.078,0.99528,3.43,0.59,10.8,6
0.059,0.99331,3.29,0.52,11.5,6
0.132,0.99577,3.23,0.57,13.2,6
0.114,0.99901,3.18,0.6,10.9,6
0.065,0.99674,3.33,0.62,12.2,6
0.094,0.99639,3.27,0.64,12.2,7
0.059,0.99331,3.29,0.52,11.5,6
0.079,0.99512,3.27,0.67,11.9,6
0.161,0.99395,3.62,0.61,11,5
0.084,0.99824,3.38,0.64,10.1,6
0.081,0.9964,3.3,0.72,11,6
0.072,0.99504,3.38,0.89,11.8,6
0.091,0.99786,3.24,0.56,10.5,5
0.081,0.9964,3.3,0.72,11,6
0.072,0.99504,3.38,0.89,11.8,6
0.084,0.99824,3.38,0.64,10.1,6
0.055,0.99516,3.18,0.8,11.2,5
0.064,0.99604,3.47,0.87,11,7
0.061,0.99786,3.47,0.9,10.2,6
0.093,0.99736,3.2,0.59,9.2,4
0.055,0.99516,3.18,0.8,11.2,5
0.063,0.99468,3.3,0.73,12,7
0.08,0.99746,3.69,0.73,10.5,5
0.074,0.99748,3.48,0.65,9.8,5
0.078,0.9971,3.45,0.59,9.5,6
0.074,0.99748,3.48,0.65,9.8,5
0.08,0.99746,3.69,0.73,10.5,5
0.06,0.99543,3.39,0.72,11.8,6
0.06,0.99543,3.39,0.72,11.8,6
0.071,0.99791,3.07,0.6,10.4,4
0.068,0.99356,3.34,0.72,12.9,7
0.073,0.99425,3.61,0.54,11.4,5
0.074,0.99509,3.36,0.76,12.4,7
0.082,0.99484,3.19,0.52,12.5,7
0.092,0.99834,3.22,0.64,10,7
0.094,0.99864,3.24,0.6,9.7,7
0.09,0.99498,3.27,0.64,12.1,7
0.071,0.99566,3.14,0.79,11.1,7
0.092,0.99745,3.29,0.99,12,7
0.093,0.99408,3.26,0.62,12.4,7
0.075,0.99552,3.41,0.76,11.9,7
0.075,0.99552,3.41,0.76,11.9,7
0.075,0.99552,3.41,0.76,11.9,7
0.093,0.99408,3.26,0.62,12.4,7
0.058,0.99536,3.31,0.68,11.2,7
0.052,0.99458,3.2,0.69,12.1,7
0.082,0.99538,3.44,0.54,12.2,6
0.09,0.99648,3.36,0.67,10.4,5
0.111,0.99568,3.31,0.62,11.3,6
0.088,0.99613,3.29,0.58,11.1,6
0.12,0.99519,3.47,0.71,11.3,7
0.089,0.99735,3.36,0.61,10,5
0.058,0.99518,3.16,0.85,11.1,6
0.078,0.99592,3.27,0.62,9.3,5
0.115,0.99654,3.38,0.69,9.5,5
0.1,0.99546,3.15,0.69,11.2,6
0.058,0.99518,3.16,0.85,11.1,6
0.065,0.99554,3.34,0.86,11,6
0.103,0.99604,3.13,0.58,11.9,7
0.097,0.99733,3.13,0.48,9.2,5
0.068,0.9943,3.2,0.6,12.2,6
0.079,0.99669,3.46,0.61,10.2,5
0.066,0.99724,3.33,0.87,10.9,6
0.066,0.99724,3.33,0.87,10.9,6
0.104,0.99643,3.22,0.65,11.6,7
0.079,0.99605,3.52,0.63,10.7,5
0.073,0.99658,3.3,0.62,12.1,7
0.083,0.997,3.44,0.52,9.4,5
0.083,0.997,3.44,0.52,9.4,5
0.109,0.99801,3.15,0.5,9.1,5
0.061,0.99416,3.28,0.49,11.3,7
0.075,0.9969,3.13,0.63,10.4,5
0.065,0.99774,3.32,0.71,10.5,6
0.079,0.99712,3.25,0.62,10,5
0.07,0.99418,3.34,0.82,12.9,6
0.065,0.99774,3.32,0.71,10.5,6
0.075,0.9969,3.13,0.63,10.4,5
0.064,0.99562,3.45,0.58,11.3,6
0.066,0.9947,3.19,0.55,11.4,7
0.08,0.99693,3.44,0.5,9.4,5
0.097,0.99596,3.16,0.49,9.4,5
0.073,0.99556,3.14,0.51,10.9,6
0.097,0.99596,3.16,0.49,9.4,5
0.082,0.99694,3.45,0.48,9.4,5
0.076,0.99554,3.36,0.48,9.4,6
0.082,0.99694,3.45,0.48,9.4,5
0.092,0.99918,3.15,0.43,9.4,5
0.079,0.99697,3.39,0.62,10.1,6
0.087,0.99378,3.71,0.63,12.8,7
0.087,0.99378,3.71,0.63,12.8,7
0.05,0.99554,3.12,0.48,9.1,6
0.055,0.99162,3.47,0.53,12.9,6
0.062,0.99495,3.44,0.72,11.5,7
0.058,0.99676,3.26,0.82,10.6,7
0.063,0.99516,3.26,0.84,11.7,7
0.067,0.9928,3.36,0.55,12.8,7
0.081,0.99603,3.25,0.54,10.3,5
0.067,0.9928,3.36,0.55,12.8,7
0.063,0.99516,3.26,0.84,11.7,7
0.064,0.99516,3.26,0.84,11.7,7
0.11,0.99549,3.23,0.7,12,7
0.116,0.99722,3.18,0.68,10.9,5
0.067,0.99354,3.25,0.55,12.3,7
0.088,0.9957,3.17,0.55,10.4,6
0.102,0.99604,3.23,0.48,10,5
0.092,0.99635,3.38,0.58,10,6
0.12,0.99454,3.22,0.58,11.2,6
0.075,0.99598,3.06,0.84,11.4,6
0.068,0.99486,3.27,0.75,12.6,7
0.049,0.99007,2.89,0.44,12.7,6
0.049,0.99007,2.89,0.44,12.7,6
0.078,0.99636,3.53,0.61,10.4,5
0.123,0.99642,3.2,0.53,11.9,6
0.123,0.99642,3.2,0.53,11.9,6
0.062,0.99584,3.35,0.54,10.5,5
0.098,0.99506,3.27,0.55,12.3,6
0.088,0.99568,3.32,0.56,10.5,7
0.095,0.99822,3.33,0.6,10.4,6
0.066,0.99364,3.41,0.56,12.6,6
0.065,0.99378,3.49,0.52,11.6,5
0.075,0.99586,3.37,0.54,10.1,6
0.088,0.99568,3.32,0.56,10.5,7
0.091,0.99488,3.42,0.55,11.5,7
0.093,0.99514,3.35,0.58,11,7
0.095,0.99854,3.36,0.53,9.6,5
0.089,0.99592,3.3,0.59,10.4,6
0.077,0.99739,3.2,0.47,9.7,6
0.085,0.99683,3.17,0.65,10.6,7
0.082,0.99356,3.22,0.59,12.5,7
0.074,0.99672,3.35,0.56,9.2,5
0.078,0.9953,3.24,0.77,12.6,7
0.088,0.99692,3.33,0.83,11.1,6
0.088,0.99756,3.58,0.67,10.2,5
0.079,0.99547,3.38,0.64,9.8,6
0.088,0.99692,3.33,0.83,11.1,6
0.069,0.99859,3.29,0.81,10.9,7
0.046,0.99294,3.36,0.62,12.2,6
0.07,0.99438,3.32,0.58,11.4,6
0.076,0.99612,3.31,0.62,10.7,6
0.082,0.99634,3.49,0.64,10.4,5
0.081,0.99702,3.27,0.78,10.9,6
0.084,0.99704,3.27,0.77,10.8,6
0.082,0.99634,3.49,0.64,10.4,5
0.414,0.99702,3.03,1.34,9.2,5
0.073,0.99258,3.56,0.55,12.9,5
0.07,0.99426,3.38,0.77,12.7,7
0.095,0.99747,3.13,0.62,9.1,6
0.095,0.99747,3.13,0.62,9.1,6
0.101,0.99586,3.21,0.59,12.1,7
0.104,0.99784,3.15,0.57,9.1,5
0.093,0.9971,3.19,0.76,11.6,7
0.101,0.99586,3.21,0.59,12.1,7
0.074,0.9981,3.14,0.7,9.9,6
0.071,0.99462,3.21,0.69,12.5,8
0.098,0.9956,3.3,0.64,11.4,6
0.075,0.99565,3.22,0.63,11.8,6
0.067,0.99418,3.28,0.57,11.8,6
0.083,0.9963,3.29,0.6,10.2,6
0.07,0.99358,3.4,0.72,12.5,7
0.06,0.99572,3.02,0.83,10.9,7
0.06,0.99572,3.02,0.83,10.9,7
0.086,0.997,3.31,0.62,10.8,5
0.057,0.99498,3.18,0.89,11.1,7
0.098,0.99892,3.2,0.58,9.2,5
0.083,0.9968,3.4,0.58,9.5,6
0.088,0.9972,3.31,0.58,10.7,6
0.098,0.99892,3.2,0.58,9.2,5
